"Optimizer","Nu","Iter","Depth","Error","Time"
"hjn.1",0.99,100,1,0.225260416666667,326.230048418045
"hjn.1",0.01,102,4,0.22265625,474.862467765808
"hjn.1",0.73,100,2,0.231770833333333,387.744632005692
"hjn.1",0.01,101,2,0.227864583333333,340.081572532654
"hjn.1",0.70001,100,1,0.21484375,308.315119743347
"hjn.1",0.01,98,5,0.223958333333333,505.967842578888
"hjn.1",0.7,99,2,0.231770833333333,454.159893989563
"hjn.1",0.99001,101,1,0.216145833333333,367.770079612732
"hjn.1",0.011,100,5,0.221354166666667,569.231184005737
"hjn.1",0.11,100,2,0.227864583333333,525.087870359421
