"Optimizer","Nu","Iter","Depth","Error","Time"
"woa.2",0.01,52,8,0.236979166666667,2609.94457578659
"woa.2",0.0646980267087877,120,1,0.233072916666667,5145.12725138664
"woa.2",0.103380360892188,63,12,0.255208333333333,3009.7477850914
"woa.2",0.052076323031276,80,10,0.23828125,3529.49917030334
"woa.2",0.01,50,7,0.239583333333333,2726.44735503197
"woa.2",0.108996963721558,241,4,0.236979166666667,7416.38936758041
"woa.2",0.232261714756342,94,4,0.243489583333333,2788.78196644783
"woa.2",0.405987855052029,54,1,0.236979166666667,1991.0383079052
"woa.2",0.335706574404029,62,1,0.236979166666667,3082.73100209236
"woa.2",0.351670394861049,98,3,0.239583333333333,3450.83354043961
