"Optimizer","Nu","Iter","Depth","Error","Time"
"gwo.1",0.953598976430799,230,18,0.134615384615385,12674.5692014694
"gwo.1",0.180418433655418,248,15,0.139423076923077,12195.6235764027
"gwo.1",0.177991082891822,221,15,0.110576923076923,10715.4978022575
"gwo.1",0.445670493475875,191,8,0.134615384615385,12248.4592809677
"gwo.1",0.471594202245647,215,8,0.125,11424.9757800102
"gwo.1",0.237438340891879,300,20,0.0865384615384615,14461.6866736412
"gwo.1",0.891970861288733,252,5,0.105769230769231,14330.4799120426
"gwo.1",0.454819636652246,125,11,0.129807692307692,7101.66248703003
"gwo.1",0.260935448342934,148,16,0.149038461538462,9581.55416345596
"gwo.1",0.49391307658131,251,9,0.0913461538461538,12676.4475970268
