"Optimizer","Nu","Iter","Depth","Error","Time"
"pso.2",0.782001793669445,189,6,0.149038461538462,7275.86744308472
"pso.2",0.415113676961802,159,9,0.1875,7671.02243566513
"pso.2",1,162,13,0.211538461538462,7955.73919963837
"pso.2",1,230,8,0.173076923076923,6748.14031505585
"pso.2",0.750217540318959,234,12,0.139423076923077,6830.9314725399
"pso.2",0.236220870303208,278,8,0.168269230769231,8927.41118550301
"pso.2",0.385301784612452,224,9,0.149038461538462,7486.03243875504
"pso.2",0.365159412243409,225,4,0.173076923076923,8023.40192508698
"pso.2",0.767806383335695,125,13,0.163461538461538,6670.37305521965
"pso.2",0.475347012169798,166,2,0.163461538461538,7249.74890017509
