"Optimizer","Nu","Iter","Depth","Error","Time"
"sca.1",0.464868274327351,240,18,0.110576923076923,8107.46102786064
"sca.1",0.493958882521838,132,4,0.115384615384615,6945.52646923065
"sca.1",0.503378324699579,238,6,0.134615384615385,9735.94138526917
"sca.1",0.176030340063341,199,8,0.120192307692308,9966.10838985443
"sca.1",0.442280658465145,300,15,0.129807692307692,9327.26444816589
"sca.1",1,287,13,0.129807692307692,10035.308027029
"sca.1",0.420195362261837,156,12,0.129807692307692,8097.52824735641
"sca.1",0.324855926679447,167,16,0.125,7585.57186412811
"sca.1",0.239484428893775,240,5,0.115384615384615,8479.56584978104
"sca.1",0.122501301247199,300,9,0.144230769230769,9799.95230650902
