"Optimizer","Nu","Iter","Depth","Error","Time"
"goa.1",0.695155151637737,107,3,0.163461538461538,6938.77528882027
"goa.1",0.490302231459004,114,3,0.139423076923077,7383.88773417473
"goa.1",0.484418109855929,111,16,0.144230769230769,7094.50089478493
"goa.1",0.146204847504333,297,15,0.125,18002.3202662468
"goa.1",0.95220223020995,114,6,0.173076923076923,7520.94405460358
"goa.1",0.186969587909989,81,10,0.177884615384615,5311.38440966606
"goa.1",0.15702533746371,165,17,0.163461538461538,10362.2323973179
"goa.1",0.856478814478659,212,2,0.139423076923077,12335.5163705349
"goa.1",0.429153745171227,267,3,0.129807692307692,15738.2019824982
"goa.1",0.0967790473953273,161,18,0.115384615384615,10160.1677474976
