"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"da.1",708.702174296891,3,6,0.0109,0.0380673499267936,387.102175235748
"da.1",1375.05339162424,14,12,0.0676889450872783,0.0307467057101025,453.76354598999
"da.1",729.001918135568,13,11,0.0235225449157163,0.0307467057101025,423.734137535095
"da.1",2489.58326204913,5,12,0.0509248335561715,0.0336749633967789,415.003766536713
"da.1",459.64341995521,5,7,0.037214148570057,0.0351390922401171,219.428886413574
"da.1",975.639977604151,10,7,0.0621865681569092,0.0351390922401171,298.106958866119
"da.1",1629.84295830829,6,6,0.0700807063116456,0.0322108345534407,690.507552146912
"da.1",1111.82865323741,11,6,0.00652165606287308,0.0263543191800878,431.376688480377
"da.1",2284.04705892158,8,11,0.1,0.0336749633967789,350.547130346298
"da.1",873.171759889045,11,11,0.0714296767134351,0.0292825768667643,297.941783666611
