"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"gwo.2",1721.86906165644,13,11,0.068572369204923,0.0307467057101025,2418.88325786591
"gwo.2",72.9177513468096,13,12,0.1,0.0307467057101025,270.601263046265
"gwo.2",444.091484206729,15,6,0.0393541587381624,0.0292825768667643,1817.71922850609
"gwo.2",1772.00702726882,4,12,0.0383179827556556,0.0307467057101025,1600.74553775787
"gwo.2",736.860326304338,10,6,0.0507739335523624,0.0263543191800878,1604.05205774307
"gwo.2",856.220783870231,14,6,0.024313960481808,0.0278184480234261,1384.07501935959
"gwo.2",1187.20100679949,5,9,0.0189535812674082,0.0263543191800878,985.219327449799
"gwo.2",360.595367544249,7,12,0.0687621632866977,0.0307467057101025,467.859812259674
"gwo.2",155.146093150231,4,8,0.0566507069629661,0.0307467057101025,985.193517684937
"gwo.2",1486.10561600653,6,9,0.0736314934252296,0.0292825768667643,1541.92868208885
