"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"ffa.1",205.896377275418,6,12,0.001,0.222619047619048,374.835376501083
"ffa.1",102.170470011001,5,9,0.001,0.222619047619048,264.860914230347
"ffa.1",2718.01323407511,3,7,0.1,0.155952380952381,1503.4563729763
"ffa.1",2612.00878143776,4,7,0.0206784757543355,0.169047619047619,1924.86561059952
"ffa.1",871.145903504826,5,8,0.1,0.172619047619048,842.082793951035
"ffa.1",2202.38710091012,8,12,0.1,0.167857142857143,2609.77069401741
"ffa.1",1330.25773566817,15,6,0.1,0.166666666666667,2717.44957327843
"ffa.1",1139.85382904643,3,5,0.001,0.195238095238095,814.513395786285
"ffa.1",839.993745671352,4,6,0.001,0.198809523809524,733.150583267212
"ffa.1",87.2760811142624,8,9,0.001,0.222619047619048,281.615988969803
