"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hjn.500",500,5,8,0.09,0.135294117647059,78.42520570755
"hjn.500",499,5,7,0.09,0.129411764705882,115.207957744598
"hjn.500",502,7,7,0.1,0.120588235294118,117.851450681686
"hjn.500",501,4,8,0.1,0.141176470588235,85.9450833797455
"hjn.500",500,6,7,0.1,0.114705882352941,130.247737646103
"hjn.500",501,5,8,0.09,0.135294117647059,112.488415956497
"hjn.500",500,5,8,0.099,0.120588235294118,99.2642486095428
"hjn.500",501,5,8,0.09,0.132352941176471,132.081138134003
"hjn.500",503,7,9,0.1,0.120588235294118,148.009466648102
"hjn.500",503,4,10,0.09,0.123529411764706,133.413694381714
