"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"mfo.1",3000,10,5,0.0550402833289717,0.163095238095238,2005.56607723236
"mfo.1",2087.97117745985,11,9,0.001,0.145238095238095,2677.33661341667
"mfo.1",259.43677193718,4,9,0.0228426151281369,0.155952380952381,1307.22881865501
"mfo.1",143.800415004989,11,10,0.0310642844511694,0.151190476190476,1188.86330008507
"mfo.1",1333.15759543329,14,6,0.0366227049126755,0.144047619047619,1876.21899390221
"mfo.1",3000,9,7,0.0124880366522994,0.155952380952381,2068.72936439514
"mfo.1",2656.32909464124,14,6,0.014168496123767,0.153571428571429,2616.55882644653
"mfo.1",3000,15,7,0.001,0.152380952380952,2392.28224277496
"mfo.1",432.989903124335,14,11,0.0275713183887338,0.164285714285714,2092.9682264328
"mfo.1",50,9,11,0.1,0.152380952380952,1431.21514987946
