"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"pso.1",2068.89882315276,7,8,0.001,0.154761904761905,4704.14926695824
"pso.1",1380.56983857705,10,7,0.0686243379093156,0.180952380952381,7145.03375554085
"pso.1",2568.13724674648,13,6,0.001,0.161904761904762,9025.36912059784
"pso.1",2971.84964813623,12,10,0.001,0.153571428571429,7352.17952942848
"pso.1",2123.88571592281,8,11,0.00728754615794897,0.164285714285714,5123.32912254333
"pso.1",2804.47685970319,10,11,0.001,0.166666666666667,9863.77515125275
"pso.1",1055.11865038052,8,9,0.0416137821806622,0.148809523809524,5896.77079987526
"pso.1",563.755622510333,10,7,0.1,0.155952380952381,7180.63576054573
"pso.1",1337.25208750321,11,7,0.1,0.173809523809524,9729.45133829117
"pso.1",2664.5655885863,9,9,0.001,0.152380952380952,10783.6553654671
