"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hjn.1",523,15,12,0.1,0.0838432280469654,9485.55802106857
"hjn.1",510,15,7,0.1,0.0824375723499256,10301.1686635017
"hjn.1",510,14,6,0.1,0.0826856292376385,11184.7686917782
"hjn.1",502,15,7,0.1,0.0840912849346784,8185.74841022491
"hjn.1",505,15,11,0.1,0.0815280304283116,12628.8619828224
"hjn.1",510,15,11,0.1,0.0808665453944104,9683.8386926651
"hjn.1",520,15,9,0.1,0.0824375723499256,9588.29729533195
"hjn.1",510,14,11,0.1,0.0837605424177278,11988.4118382931
"hjn.1",511.9998,15,11,0.0999,0.0819414585744997,12987.8879647255
"hjn.1",509.11,15,9,0.1,0.0830990573838267,14022.086160183
