"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"gwo.1",440.247096316794,1,5,0.0176017672768392,0.240885416666667,126.678595542908
"gwo.1",1744.36573338051,2,6,0.0122530216598821,0.231770833333333,319.819418430328
"gwo.1",1419.59001215405,2,5,0.00866719046264451,0.233072916666667,238.895738840103
"gwo.1",1732.77446257318,11,5,0.00143237376779315,0.229166666666667,516.645451545715
"gwo.1",1167.05711942731,12,12,0.001,0.23828125,661.96166062355
"gwo.1",1610.88655622002,10,7,0.0401645821688844,0.283854166666667,562.397921800613
"gwo.1",50,15,5,0.0738642136331435,0.244791666666667,192.844659805298
"gwo.1",1827.53231585027,9,6,0.001,0.23828125,532.94939827919
"gwo.1",1726.55290822924,1,10,0.00364056130719322,0.239583333333333,167.563965082169
"gwo.1",50,4,6,0.0625859316699861,0.239583333333333,68.9122095108032
