"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"mfo.2",50,12,6,0.0411947577733205,0.229166666666667,2197.4504005909
"mfo.2",50,11,12,0.0314431535450928,0.239583333333333,971.132260322571
"mfo.2",50,5,5,0.0560840674324138,0.2265625,1029.09150362015
"mfo.2",1459.99852268358,11,12,0.001,0.240885416666667,1632.12859225273
"mfo.2",199.507358008835,1,12,0.0519960238933551,0.231770833333333,969.911558866501
"mfo.2",50,15,6,0.0830434470798423,0.24609375,769.403565645218
"mfo.2",153.130428655609,10,5,0.0159322303356369,0.236979166666667,1421.54499340057
"mfo.2",50,1,7,0.0878343063487843,0.227864583333333,607.913364887238
"mfo.2",1692.32156945742,15,9,0.001,0.235677083333333,2656.4649207592
"mfo.2",50,1,5,0.0842947817479639,0.236979166666667,1212.0621111393
