"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hjkb.1",499.180599212646,4,7,0.0563352966308594,0.125,911.013915538788
"hjkb.1",500.014289855957,5,9,0.0294881591796875,0.120192307692308,959.552698612213
"hjkb.1",500.531963348389,5,9,0.0661505126953125,0.105769230769231,957.774684906006
"hjkb.1",500.503425598145,5,6,0.0336111450195312,0.139423076923077,1083.25526785851
"hjkb.1",499.282886505127,4,10,0.0691259765625,0.120192307692308,764.453647375107
"hjkb.1",499.36856842041,6,10,0.0241506958007812,0.139423076923077,1038.40986919403
"hjkb.1",498.945346832275,5,8,0.033695068359375,0.125,908.886970281601
"hjkb.1",499.414081573486,6,8,0.0721624755859375,0.149038461538462,1004.82145667076
"hjkb.1",500.252418518066,4,8,0.0901029968261719,0.125,776.775372743607
"hjkb.1",500.304203033447,3,10,0.0632246398925781,0.125,794.141620635986
