"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"ga.1",679.222660071189,4,7,0.0226917889425427,4.53673155408044,3423.24437618256
"ga.1",1078.75052262843,13,8,0.0145014673471451,4.51955614148717,2592.35819363594
"ga.1",1049.909522295,10,10,0.0138450413942337,4.56926444529694,2347.03179955482
"ga.1",2369.56222181022,9,8,0.00578056275844574,4.50698593364192,2224.28603386879
"ga.1",2369.56222181022,9,8,0.00578056275844574,4.50794774205867,2224.9634206295
"ga.1",522.759525280359,5,8,0.0273490640067635,4.53061130064396,2923.73169851303
"ga.1",463.226128071547,8,9,0.0213582962751389,4.55290018990531,2279.192019701
"ga.1",2047.23278227263,4,8,0.0126254092438788,4.53992348671393,3029.48086714745
"ga.1",929.63233733631,5,8,0.0271584102942795,4.50615881637042,2779.25743770599
"ga.1",463.226128071547,8,9,0.0213582962751389,4.55290018990531,2311.44757175446
