"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"hjn.50",2002,6,6,0.001,6.21444304342873,46.5257577896118
"hjn.50",2000.003,8,6,0.00201,5.78106017437499,83.2464549541473
"hjn.50",2005.9889,11,6,0.001,5.83190360527337,68.180567741394
"hjn.50",2001.01,6,5,0.001,6.11050355014968,56.8488929271698
"hjn.50",2003,4,8,0.01,6.46450172727515,38.5228893756866
"hjn.50",2000,8,5,0.01,6.28561674289267,33.3716559410095
"hjn.50",2000,5,5,0.001,6.0570217448153,44.6732044219971
"hjn.50",2001.000001,6,7,0.001,6.28923558935176,46.8237898349762
"hjn.50",1998,7,5,0.009999,6.20183220427506,53.3724880218506
"hjn.50",2000.99999,8,5,0.001,6.10278536681171,41.4616417884827
