"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"mfo.2",4939.52740203849,8,6,0.0484657857336751,8.69969297390092,4243.51550674438
"mfo.2",4158.88691002957,6,6,0.0199277152628915,7.70913811892604,3693.82102751732
"mfo.2",2557.00968406521,12,6,0.0594194741541011,7.64236478552859,5862.66618561745
"mfo.2",5000,13,5,0.0419823142635358,7.49355335183303,8681.33937764168
"mfo.2",3459.6340264682,2,8,0.030430531012121,8.03447066123501,3372.92634344101
"mfo.2",4482.574165158,13,6,0.0150294879630648,7.40889286711913,8621.19538998604
"mfo.2",2770.06671019039,10,6,0.0704922382493884,8.04372035162855,6257.71027207375
"mfo.2",3340.1050435168,14,6,0.0242535325420005,7.5940202024616,8124.75670337677
"mfo.2",1839.15202011121,15,6,0.0800798533582129,7.65917144445929,5424.99269175529
"mfo.2",4990.59434929198,6,7,0.0118435591620882,7.55126384723967,4625.43534517288
