"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"mfo.2",2222.60917153031,5,7,0.0680905429553687,627.81842255664,128.244868993759
"mfo.2",4347.71810348912,15,6,0.0146400235741946,641.227739421234,192.132787942886
"mfo.2",2976.43989288362,1,7,0.0981831280588754,630.275085158433,156.456132173538
"mfo.2",4526.51966512887,1,6,0.0531034377155356,562.742425066422,166.46239233017
"mfo.2",4155.9404848642,12,5,0.1,682.807874225818,183.488480567932
"mfo.2",3446.02141239448,6,7,0.0471464037932456,535.401846859104,120.213970661163
"mfo.2",3351.16266200056,15,5,0.0125318618544076,566.681294050487,163.501756906509
"mfo.2",261.368637857959,5,6,0.0607546034217812,608.579422906489,137.737801074982
"mfo.2",4713.17825830704,15,7,0.0215342181061059,560.876374502422,184.085894584656
"mfo.2",2367.28324342881,3,5,0.0579262134209724,454.183983045923,118.318457603455
