"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"da.1",2324.32139977395,11,6,0.00222052166819268,761685682.363547,8990.69197201729
"da.1",1983.76158695311,6,9,0.029161580750429,670414973.780254,7552.96012568474
"da.1",1590.54782317091,7,10,0.0191474732297469,824160983.679807,6743.33065056801
"da.1",2786.15578356107,5,8,0.0171565382290889,924625416.72311,9712.4359292984
"da.1",2509.22139764497,5,9,0.0548922405081335,699718053.427295,7672.68143463135
"da.1",4752.5,3,8,0.0185657841817027,888807180.411063,9976.97181892395
"da.1",4266.19074569921,7,7,0.0163895370908733,952322948.708632,9739.46318817139
"da.1",1485.62029998866,4,9,0.0421866069312663,913244955.34435,4829.65397429466
"da.1",4692.26027141817,4,8,0.0113902328244525,710088023.274255,5856.4798412323
"da.1",615.81613388709,7,6,0.0762087367254059,674917987.025756,3720.60934209824
