"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"goa.1",1365.16493310919,4,8,0.0658582535644528,1e+300,1.08442234992981
"goa.1",336.5822039661,10,10,0.0287599751011003,1e+300,0.618330240249634
"goa.1",149.829796981066,5,8,0.0983807071817573,1e+300,0.530514478683472
"goa.1",3844.24084024504,7,10,0.00324244899488986,1e+300,0.494422912597656
"goa.1",3940.75953684514,13,6,0.0919216663697734,1e+300,0.473874807357788
"goa.1",149.226111359894,3,7,0.0187328080818988,1e+300,0.472664833068848
"goa.1",4342.72939792136,11,10,0.0899930135526229,1e+300,0.50619912147522
"goa.1",1871.94827067433,7,6,0.00953625807887875,1e+300,0.482751369476318
"goa.1",3549.90956721595,5,9,0.0499983030883595,1e+300,0.482815980911255
"goa.1",3866.03940363275,15,8,0.00307649070047773,1e+300,0.475394725799561
