"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"optim.1",2000,8,5,0.01,1e+300,0.613940715789795
"optim.1",2000,8,5,0.01,1e+300,0.0386419296264648
"optim.1",2000,8,5,0.01,1e+300,0.0357532501220703
"optim.1",2000,8,5,0.01,1e+300,0.0357124805450439
"optim.1",2000,8,5,0.01,1e+300,0.0453481674194336
"optim.1",2000,8,5,0.01,1e+300,0.0445957183837891
"optim.1",2000,8,5,0.01,1e+300,0.0425257682800293
"optim.1",2000,8,5,0.01,1e+300,0.0380430221557617
"optim.1",2000,8,5,0.01,1e+300,0.0415561199188232
"optim.1",2000,8,5,0.01,1e+300,0.0460059642791748
