"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"sca.1",1466.94897385314,6,10,0.0607549422371667,1e+300,1.00696277618408
"sca.1",4976.1390227126,11,10,0.0149680089363828,1e+300,0.566745758056641
"sca.1",2067.89455381222,12,7,0.0996084986261558,1e+300,0.473803997039795
"sca.1",3384.07578786137,6,6,0.00173579476261511,1e+300,0.457949161529541
"sca.1",1151.31066753529,14,6,0.032048163180938,1e+300,0.453041315078735
"sca.1",318.183106335346,10,10,0.0436907866988331,1e+300,0.45086669921875
"sca.1",3452.59418193018,8,6,0.0969907635205891,1e+300,0.452416896820068
"sca.1",2703.24558453867,5,7,0.0149129326157272,1e+300,0.492532968521118
"sca.1",371.530737832654,9,7,0.00208727390039712,1e+300,0.467643737792969
"sca.1",840.129017876461,5,9,0.0183239417683799,1e+300,0.456756114959717
