"Optimizer","Cost","Gamma","Time","Error"
"Rcgmin.2",10,-5,1800.97482037544,0.166032743509178
"Rcgmin.2",10,-5,1415.60010766983,0.166776914172317
"Rcgmin.2",10,-5,2496.25568318367,0.127253183396726
"Rcgmin.2",10,-5,1619.73188185692,0.165867372250703
"Rcgmin.2",10,-5,2219.27035546303,0.166859599801554
"Rcgmin.2",10,-5,2491.88363862038,0.126260955845874
"Rcgmin.2",10,-5,1417.59061217308,0.16735571357698
"Rcgmin.2",10,-5,2715.24629426003,0.0749131800893005
"Rcgmin.2",10,-5,2122.77380037308,0.0617661650405159
"Rcgmin.2",10,-5,2804.40863490105,0.0779725483710931
