"Optimizer","Cost","Gamma","Time","Error"
"Rcgmin.2",10.0000000000393,-4.99999999989198,347.974045038223,0.22265625
"Rcgmin.2",10,-5,5.54149746894836,0.234375
"Rcgmin.2",10,-5,2.32406497001648,0.229166666666667
"Rcgmin.2",10,-5,2.28199338912964,0.223958333333333
"Rcgmin.2",10,-5,5.33270120620728,0.231770833333333
"Rcgmin.2",10.0000316089844,-4.99993678203125,12.7972185611725,0.225260416666667
"Rcgmin.2",10,-5,3.6320595741272,0.234375
"Rcgmin.2",10,-5,3.507976770401,0.231770833333333
"Rcgmin.2",10,-5,5.42724013328552,0.2265625
"Rcgmin.2",10,-5,4.64440774917603,0.231770833333333
