"Optimizer","Cost","Gamma","Time","Error"
"ga.1",606.76277770102,-9.8463120162487,224.205687046051,0.22265625
"ga.1",41.0315320193768,-8.53216381371021,306.360669136047,0.223958333333333
"ga.1",368.695515632629,-7.33975280821323,259.238686084747,0.229166666666667
"ga.1",723.231837972999,-9.89183165132999,270.277788162231,0.225260416666667
"ga.1",606.762777699623,-9.84631202183664,238.536201000214,0.223958333333333
"ga.1",104.090763628483,-8.45982225239277,242.442313671112,0.220052083333333
"ga.1",451.020523575289,-6.79478500199573,365.113989114761,0.221354166666667
"ga.1",670.164919462032,-7.06992772005158,279.864145994186,0.221354166666667
"ga.1",104.090763628483,-8.45982225239277,266.084275484085,0.221354166666667
"ga.1",104.090763628483,-8.45982225239277,247.371085643768,0.220052083333333
