"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"hjn.1500",3.001,-3.99,0.4,9.91060471534729,4.63562967125942
"hjn.1500",4,-7,0,8.14166498184204,4.8328070236705
"hjn.1500",4,-4.0001,0.5,5.52571058273315,4.63686824152389
"hjn.1500",5.1,-5.1,0.5,5.95264983177185,4.61787433451339
"hjn.1500",2.9999999,-4.9999999,0.4,6.1259651184082,4.70044222753197
"hjn.1500",3,-4,0,7.20267844200134,4.70648762451816
"hjn.1500",2.998,-5.001,0.3999,7.93467926979065,4.690167138045
"hjn.1500",2.9999,-4.9998,0.5,5.87828159332275,4.68713933137173
"hjn.1500",2.001,-5,0.5,4.21273374557495,4.77666097484738
"hjn.1500",2,-3.0001,0.4,7.41580057144165,4.62886463857601
