"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"sca.2",118.828786734026,-5,0,41111.5120449066,4.4003299848623
"sca.2",879.059951675208,-6,0,35522.2776193619,4.42375964162748
"sca.2",1.29814329471762,-3,0,16817.5936467648,4.44063880197374
"sca.2",1,-2,0,40917.7768633366,4.46510766940245
"sca.2",706.946979689396,-6,0,28455.5027132034,4.46329446823159
"sca.2",195.927598972584,-5,0,24098.2842321396,4.42355216880553
"sca.2",113.719823941885,-4,0,26770.9676661491,4.47387195444044
"sca.2",19.0556521497941,-4,0,3921.98488259316,4.38792329506155
"sca.2",90.9863409876249,-4,0,51859.8476345539,4.43359362504635
"sca.2",530.939472377762,-7,0,29189.8406062126,4.44461472708735
