"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"woa.1",57.5628616773116,-5,0,1333.02544403076,4.51866923903707
"woa.1",415.664032852691,-5,0,2865.78304195404,4.52882936305864
"woa.1",214.852574717265,-6,0,3433.3892686367,4.62832706919025
"woa.1",521.281783965839,-6,0,4668.36958837509,4.57029192938377
"woa.1",235.951369482829,-6,0,1939.12929868698,4.59093458428951
"woa.1",1004.93942490335,-7,0,2942.72113633156,4.79498508434763
"woa.1",31.0157539007232,-4,0,2373.29207396507,4.4903017878706
"woa.1",1024,-8,0,5220.85878252983,5.01341761912944
"woa.1",353.406227091411,-6,0,2296.28603577614,4.50713807165715
"woa.1",93.4456167527887,-5,0,3550.79286670685,4.48937114976338
