"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"hjn.2",6.19,-3.1,0.11,75.3101024627686,6.81061126657087
"hjn.2",8,-3,0,94.0333127975464,7.26866430000506
"hjn.2",6.9,-2.90001,0.1,88.3139283657074,6.96390441941875
"hjn.2",7.1,-3,0.1,69.4846835136414,6.71009001263747
"hjn.2",7.2,-3.100001,0.1001,84.4443233013153,6.84174359800943
"hjn.2",10,-3,0.001,139.278912305832,6.86202724071099
"hjn.2",7.9,-3,0.1,79.1850280761719,7.19218508300928
"hjn.2",12,-2.99,0,126.885556459427,7.39743598590924
"hjn.2",9,-3,0,106.722259998322,7.21820026503659
"hjn.2",10,-2.99,0,123.929958581924,7.41692560411387
