"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"pso.2",59.3258961820975,-4,0,2173.66567134857,7.71723757449245
"pso.2",59.6166734378362,-5,0,1588.46538591385,7.48509632226183
"pso.2",622.127413082402,-6,0,2193.68467521667,8.48862856258087
"pso.2",136.408446262823,-4,0,1172.17438292503,9.26535168482581
"pso.2",277.843925902853,-5,0,1346.23282051086,8.4672709135849
"pso.2",906.496071456932,-3,0,1682.61385440826,7.75640108204675
"pso.2",109.613482830598,-5,0,2143.51493144035,7.7761101255009
"pso.2",163.4225985479,-4,0,1407.94209575653,8.34429860094628
"pso.2",167.070297023281,-5,0,1901.28491091728,8.08339412391778
"pso.2",959.13463097834,-3,0,1242.054033041,7.73338613773057
