"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"da.2",671.233473406682,-2,0,22.2261140346527,12.0746746184011
"da.2",389.191097565303,-2,0,11.9398493766785,10.2947371289505
"da.2",230.13235440642,-3,0,17.7318201065063,20.6421093953199
"da.2",325.87087153604,-3,0,19.401495218277,13.9150404027677
"da.2",369.29760291632,-2,0,17.3280186653137,26.0028020941604
"da.2",469.250660452584,-3,0,10.5752944946289,13.1919400242212
"da.2",64.8554639626241,-1,0,10.9004189968109,9.81087232771868
"da.2",454.374187007081,-3,0,16.5372955799103,12.3151068281433
"da.2",191.696995697059,-2,0,21.9514267444611,15.8182656140156
"da.2",311.126441876588,-3,0,21.6313126087189,13.3516958872536
