"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"gwo.2",678.68123760999,-9,0,4.51154589653015,510.05974697873
"gwo.2",693.65443697429,-10,0,3.99324035644531,682.924658587302
"gwo.2",735.140803343424,-9,0,3.29275250434875,576.99656961588
"gwo.2",632.250855692579,-9,0,4.40036582946777,595.703856726274
"gwo.2",762.685885830173,-10,0,4.84817910194397,579.955030014791
"gwo.2",294.797681657584,-9,0,2.84446620941162,682.700990996847
"gwo.2",271.090842530928,-9,0,4.04167318344116,477.423096319691
"gwo.2",645.570122412514,-10,0,3.49657297134399,570.406850678391
"gwo.2",547.422979782414,-9,0,4.25009727478027,578.07993414141
"gwo.2",528.954767958007,-5,0,1.49000144004822,726.725036637197
