"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"alo.2",618.699252223795,-6,0,1532.52246570587,854313620.365421
"alo.2",745.546673810255,-6,0,623.587708950043,845122809.910069
"alo.2",1.49889057396665,-6,0,1455.63847017288,741975841.751562
"alo.2",630.253338942894,-6,0,1031.36712098122,788025840.967138
"alo.2",728.278798770694,-6,0,956.145943641663,901980795.645005
"alo.2",442.693744873032,-7,0,1203.17178726196,829883410.263897
"alo.2",127.102081469042,-7,0,1223.2693297863,846319330.29722
"alo.2",571.11329111646,-6,0,1753.7773733139,861507353.252909
"alo.2",930.978610403622,-7,0,667.557213783264,863970066.69937
"alo.2",764.75011916964,-6,0,1518.24766564369,828191953.309492
