"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"ga.1000",555.233808470869,-6.43885726215902,0.0820626499092834,60.6667387485504,772538932.672773
"ga.1000",641.896135030461,-6.91068068380004,0.161045271350323,56.9223413467407,789845000.51826
"ga.1000",616.730100646615,-5.92804236710072,0.0405426323413849,42.827253818512,806119849.324095
"ga.1000",521.344154338708,-6.80716908883474,0.191989415796108,52.8927030563354,809231490.43397
"ga.1000",634.201772115967,-6.67912915163742,0.189059486341864,51.6004407405853,803624223.203376
"ga.1000",625.400103090622,-6.46128382261025,0.207011389789851,52.7110755443573,815750116.098307
"ga.1000",516.205494771833,-6.74750460695286,0.152126740392519,54.6266353130341,781775727.931646
"ga.1000",544.801448337745,-6.58173189605346,0.0658734748812248,49.4278736114502,771523396.266421
"ga.1000",788.215242011473,-6.82347715366632,0.0572885263245553,27.8435895442963,851845755.843403
"ga.1000",613.921222827397,-5.77679130947217,0.0246648084139451,28.9216966629028,844832679.270064
