"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"hjn.500",3,-7,0.01,52.7902781963348,605911538.152437
"hjn.500",4.1,-6,0,45.7073001861572,602314214.494012
"hjn.500",3.11,-7,0,50.3880302906036,593255453.366791
"hjn.500",3.001001,-7,0,50.6773233413696,537076084.388911
"hjn.500",2,-5,0.4,12.9915277957916,1118720343.18847
"hjn.500",5,-7,0,35.8992726802826,626861201.308696
"hjn.500",9.01001,-7,0,59.3294358253479,657695006.187942
"hjn.500",3.0999999,-8,0,48.2938463687897,603436545.414173
"hjn.500",6.1,-7.0000001,1e-06,64.5330195426941,575638601.578367
"hjn.500",2.999999,-7.000001,0,54.4014027118683,583069264.611774
