"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"woa.1",629.148107781797,-10,0,298.740248203278,1842680960.56321
"woa.1",326.769474846244,-6,0,799.403002023697,832257555.340672
"woa.1",550.524803726452,-6,0,982.971927165985,1030368695.20103
"woa.1",876.430266580193,-6,0,607.770714044571,805846870.386168
"woa.1",3.34698280301024,-7,0,577.307888507843,805069273.523921
"woa.1",7.12456840400756,-8,0,665.312161207199,857806377.68182
"woa.1",1,-7,0,618.934079647064,804932888.735423
"woa.1",1,-6,0,589.546984434128,824393097.60304
"woa.1",636.29553643491,-6,0,750.987107515335,834310949.22524
"woa.1",18.5694863846038,-7,0,814.939521551132,796163004.204864
