"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"pso.2",366.476174182624,-6,0,7.88502049446106,68.7246609158676
"pso.2",836.573878598258,-8,0,4.949462890625,80.8557721800078
"pso.2",40.1751551069319,-5,0,6.83555173873901,69.6422482943446
"pso.2",226.305428921754,-7,0,4.96080565452576,78.7684142059196
"pso.2",193.308312701527,-6,0,4.23135876655579,77.5797361965335
"pso.2",438.009225775488,-2,0,10.824658870697,84.4604458598396
"pso.2",679.191415454727,-7,0,6.01839375495911,72.5255336088365
"pso.2",690.979980061397,-7,0,5.3364839553833,71.3725899061068
"pso.2",559.768993844045,-8,0,6.17658662796021,73.1006604449114
"pso.2",103.367769433884,-6,0,5.29943633079529,77.5364367452325
