"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"alo.2",291.498553238237,-10,0,2.13744759559631,336.374739218692
"alo.2",1015.8435025865,-9,0,1.8020350933075,757.618989310578
"alo.2",170.826612446693,-6,0,2.51928877830505,203.681384548506
"alo.2",865.301057712605,-8,0,2.761399269104,462.772765122355
"alo.2",123.900647581555,-6,0,2.22652411460876,242.374795064588
"alo.2",878.825673082046,-10,0,1.14079117774963,374.143197916875
"alo.2",146.956309890248,-7,0,1.81089448928833,228.117886336186
"alo.2",901.961498497325,-8,0,1.27607941627502,329.830904313575
"alo.2",146.240237584617,-9,0,1.13239526748657,611.752739410949
"alo.2",1024,-10,0,1.20403599739075,341.768678105221
