"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"goa.2",651.982995904539,-9,0,1.94841408729553,423.43624392712
"goa.2",136.248597466404,-3,0,1.27757954597473,576.062534159589
"goa.2",326.661723963653,-5,0,1.2409143447876,476.524231864656
"goa.2",36.8819397511402,-5,0,1.13028430938721,322.009740560133
"goa.2",718.233621645328,-4,0,1.04665851593018,601.711432913968
"goa.2",384.298366596938,-8,0,1.21246123313904,418.470497985891
"goa.2",166.959021604745,-7,0,2.07327675819397,343.780697944037
"goa.2",298.385213040018,-8,0,2.01303291320801,392.858182894587
"goa.2",763.088428522745,-7,0,1.97005558013916,511.660077156532
"goa.2",116.737164545493,-6,0,1.09630489349365,342.473797462292
