"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"hjn.2",1.9,-4.9,0,1.37053060531616,442.662152699227
"hjn.2",4.999,-3.99901,0,0.906468868255615,276.477192812487
"hjn.2",5.01,-3.91,0.01,0.960787534713745,298.780382602233
"hjn.2",4.7,-4.00001,0,0.781891822814941,322.426203026816
"hjn.2",1.9999,-4.0002,0,0.578940153121948,404.708512777767
"hjn.2",11,-5,0,0.682664632797241,287.334218030152
"hjn.2",3.98,-4.05,0,0.833840131759644,331.299020482221
"hjn.2",10.4,-4,0,0.948939323425293,267.53280712176
"hjn.2",6.9989,-3.99,0,0.904868364334106,267.935182063655
"hjn.2",3,-3.00009,0,0.67516303062439,358.259694801401
