"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"optim.1",1.93151603215454,-4.65684339574792,0.372051238643315,1.95158839225769,842.553867072976
"optim.1",1.96282098287806,-5.19034974402596,0.40194066868445,2.2326192855835,945.247742847279
"optim.1",2,-5,0.4,0.574779510498047,804.734134177079
"optim.1",2,-5,0.4,1.33324480056763,720.721174823321
"optim.1",1.54372222048323,-3.47687613842037,0.000192736522283431,1.09730362892151,686.322861975718
"optim.1",2.28001328177114,-5.00136992798841,0.400027398559684,1.1095871925354,912.432545974901
"optim.1",2.00017986297912,-4.99999912004413,0.399999929603531,0.909713983535767,855.114642962481
"optim.1",1.99686674214118,-4.98433371070588,0.400313325785882,0.482300996780396,727.798927998818
"optim.1",1.99999963064705,-4.99999815323526,0.400000036935295,0.620120048522949,890.724418162159
"optim.1",2.04054751243881,-4.99980162665147,0.399984130132118,0.851519346237183,894.536219609103
